CTUID,priv_dwellings_by_bedroom,priv_dwellings_by_rooms,major_repairs,monthly_housing_costs,percent_mortgage,income_after_tax,house_by_person_per_room,avg_house_size,population,land_area
5370000,293345,293345,18370,1294,60.6,66100,293345,2.5,747545,1371.89
5370001.01,760,760,35,1269,57.9,69530,760,2.9,2193,5.52
5370001.02,1760,1760,70,1493,70.2,72590,1755,3,5302,1.29
5370001.04,1900,1895,50,1367,59.7,83257,1895,3.3,6305,1.7
5370001.05,1605,1610,45,1569,65.3,75136,1605,3.2,5344,1.55
5370001.06,1610,1610,60,1329,59.6,84864,1610,3.1,5191,1.48
5370001.07,1275,1270,85,1221,60.4,62912,1275,2.9,3725,0.76
5370001.08,2050,2050,35,1513,66.7,80576,2055,3.2,6556,1.64
5370001.09,1390,1390,25,1612,72.3,78976,1395,3.3,4566,1.97
5370002.01,1625,1625,65,1317,65.2,82517,1625,3.2,5122,1.48
5370002.03,1050,1050,95,1215,59.2,67968,1050,2.8,3069,0.77
5370002.04,1570,1575,75,1239,54.4,77792,1570,3,4629,0.98
5370002.05,2330,2325,55,1627,68.4,89926,2330,3.2,7625,1.96
5370002.06,1385,1385,15,1263,57.7,61824,1385,2.4,3544,2.67
5370003.01,1965,1965,95,1096,53.5,61926,1965,2.5,5224,1.22
5370003.02,1315,1310,65,1062,56.5,61338,1310,2.5,3494,0.87
5370003.03,1075,1080,90,1116,55.2,61376,1075,3,3264,0.73
5370003.04,2270,2270,165,902,50.2,54684,2270,2.6,5832,1.74
5370004.01,1410,1415,155,922,53.9,49344,1415,2.4,3243,0.98
5370004.02,1630,1630,115,1043,52.5,52565,1630,2.5,4189,1
5370005.01,2340,2340,185,1201,57.6,56576,2340,2.5,6111,1.85
5370005.02,1410,1415,120,1276,64.7,60672,1410,2.7,3893,0.95
5370005.03,1540,1540,70,901,46.1,61542,1540,2.6,4003,0.94
5370006,2045,2045,165,1132,59.4,56832,2050,2.3,4699,2.2
5370007,1595,1595,105,1060,57.8,49792,1590,2.1,3382,0.86
5370008,1090,1090,85,1161,58.1,50176,1090,2.1,2533,0.8
5370009,1425,1425,85,931,55.6,50219,1425,2.6,3601,0.86
5370010,1345,1345,60,1021,57.4,56320,1350,2.3,3132,0.91
5370011,925,930,60,850,50.3,60672,925,2.4,2262,0.85
5370012,585,585,40,1003,58.3,46259,585,2.4,1524,0.43
5370013,1060,1060,60,1114,52.2,74688,1060,2.6,2818,1.55
5370014,1025,1020,80,1038,51.1,76629,1020,2.6,2707,1.18
5370015,750,755,25,1076,50.5,60544,755,2.2,1782,0.62
5370016,180,180,0,1499,58.3,107776,180,2.8,506,0.46
5370017,1380,1380,95,1630,58,98816,1385,2.6,3459,2.64
5370020,1720,1720,130,1161,66,60851,1715,2.3,120,0.38
5370021,1985,1990,210,1168,70.1,53604,1985,2.3,3932,1.2
5370022,2370,2375,155,1075,64.5,47232,2370,2.2,3959,1.09
5370023,940,940,65,1250,62.3,66133,935,2,4441,1.05
5370024,1115,1115,40,1204,49.6,58453,1115,2.4,4706,0.92
5370025,1120,1120,65,1202,61.5,68254,1120,2.3,2248,0.83
5370026.01,1640,1640,130,873,47.6,43110,1640,2.5,2500,0.8
5370026.02,910,910,50,686,38.1,38784,910,2,2817,2.26
5370026.03,720,715,20,836,37.5,80179,715,1.9,3397,0.95
5370026.04,635,635,15,979,45.2,67755,630,2.9,1819,0.62
5370026.05,1705,1705,160,904,44.8,53120,1705,2.5,2056,0.97
5370026.06,2060,2060,185,1136,60.4,54349,2060,2.4,1534,1
5370027,485,490,30,870,48,56704,490,2.6,4100,2.74
5370028,1220,1225,120,1165,63.4,55066,1220,2.2,5436,1.17
5370029,2025,2025,230,1203,66.1,52587,2025,2.2,1080,0.55
5370030,1635,1635,125,1220,65.6,67982,1635,2.1,2712,0.72
5370031,840,840,90,1304,67.7,61568,840,2.5,4350,1.01
5370032,1465,1465,135,1261,71.8,39834,1470,2.4,4062,1.05
5370033,1300,1305,155,1295,69.8,45781,1305,2.1,2070,0.96
5370034,2970,2970,305,1030,70.3,34223,2970,2.2,3180,0.74
5370035,1820,1820,175,998,62.7,33728,1820,1.7,3092,0.7
5370036,1430,1430,110,1153,72.2,28843,1425,1.8,5258,0.92
5370037,1940,1940,220,1096,57.1,20320,1940,1.7,3648,0.44
5370038,2665,2665,230,1113,51.2,32715,2665,1.3,2492,0.36
5370039,3060,3060,350,1251,52.7,39744,3060,1.5,2588,0.32
5370040,1040,1040,45,1115,57.6,52710,1040,1.7,3914,0.33
5370041,1080,1080,120,1168,61.6,40627,1080,1.9,5127,0.35
5370042,1230,1230,110,1434,69.6,58752,1235,1.8,1984,0.34
5370043,1485,1490,115,833,44.9,43955,1490,2.1,2168,0.41
5370044,2335,2335,235,917,40.4,41114,2335,2.4,2688,1.51
5370045,1160,1160,85,1053,44.2,72128,1160,1.8,3587,1.88
5370046,1380,1375,105,1000,54,50080,1375,2.5,4486,1.16
5370047,1695,1695,120,1185,63.2,38805,1700,2.2,2936,3.16
5370048,880,875,85,1610,76.5,30240,880,1.8,3353,1.22
